id,name,line_id,prefecture_id
747,雫石,31,3
748,春木場,31,3
749,赤渕,31,3
750,田沢湖,31,5
751,刺巻,31,5
752,神代,31,5
753,生田,31,5
754,角館,31,5
755,鶯野,31,5
756,羽後長野,31,5
757,鑓見内,31,5
758,羽後四ツ屋,31,5
759,北大曲,31,5
760,大曲,31,5
761,好摩,32,3
762,東大更,32,3
763,大更,32,3
764,平館,32,3
765,北森,32,3
766,松尾八幡平,32,3
767,安比高原,32,3
768,赤坂田,32,3
769,小屋の畑,32,3
770,荒屋新町,32,3
771,横間,32,3
772,田山,32,3
773,兄畑,32,3
774,湯瀬温泉,32,5
775,八幡平,32,5
776,陸中大里,32,5
777,鹿角花輪,32,5
778,柴平,32,5
779,十和田南,32,5
780,末広,32,5
781,土深井,32,5
782,沢尻,32,5
783,十二所,32,5
784,大滝温泉,32,5
785,扇田,32,5
786,東大館,32,5
787,大館,32,5
788,盛岡,33,3
789,上盛岡,33,3
790,山岸,33,3
791,上米内,33,3
792,大志田,33,3
793,浅岸,33,3
794,区界,33,3
795,松草,33,3
796,平津戸,33,3
797,川内,33,3
798,箱石,33,3
799,陸中川井,33,3
800,腹帯,33,3
801,茂市,33,3
802,蟇目,33,3
803,花原市,33,3
804,千徳,33,3
805,宮古,33,3
806,磯鶏,33,3
807,津軽石,33,3
808,豊間根,33,3
809,陸中山田,33,3
810,織笠,33,3
811,岩手船越,33,3
812,浪板海岸,33,3
813,吉里吉里,33,3
814,大槌,33,3
815,鵜住居,33,3
816,両石,33,3
817,釜石,33,3
818,新津,34,15
819,京ケ瀬,34,15
820,水原,34,15
821,神山,34,15
822,月岡,34,15
823,中浦,34,15
824,新発田,34,15
825,加治,34,15
826,金塚,34,15
827,中条,34,15
828,平木田,34,15
829,坂町,34,15
830,平林,34,15
831,岩船町,34,15
832,村上,34,15
833,間島,34,15
834,越後早川,34,15
835,桑川,34,15
836,今川,34,15
837,越後寒川,34,15
838,勝木,34,15
839,府屋,34,15
840,鼠ケ関,34,6
841,小岩川,34,6
842,あつみ温泉,34,6
843,五十川,34,6
844,小波渡,34,6
845,三瀬,34,6
846,羽前水沢,34,6
847,羽前大山,34,6
848,鶴岡,34,6
849,藤島,34,6
850,西袋,34,6
851,余目,34,6
852,北余目,34,6
853,砂越,34,6
854,東酒田,34,6
855,酒田,34,6
856,本楯,34,6
857,南鳥海,34,6
858,遊佐,34,6
859,吹浦,34,6
860,女鹿,34,6
861,小砂川,34,5
862,上浜,34,5
863,象潟,34,5
864,金浦,34,5
865,仁賀保,34,5
866,西目,34,5
867,羽後本荘,34,5
868,羽後岩谷,34,5
869,折渡,34,5
870,羽後亀田,34,5
871,岩城みなと,34,5
872,道川,34,5
873,下浜,34,5
874,桂根,34,5
875,新屋,34,5
876,羽後牛島,34,5
877,秋田,34,5
878,追分,35,5
879,出戸浜,35,5
880,上二田,35,5
881,二田,35,5
882,天王,35,5
883,船越,35,5
884,脇本,35,5
885,羽立,35,5
886,男鹿,35,5
887,福島,36,7
888,笹木野,36,7
889,庭坂,36,7
890,赤岩,36,7
891,板谷,36,6
892,峠,36,6
893,大沢,36,6
894,関根,36,6
895,米沢,36,6
896,置賜,36,6
897,高畠,36,6
898,赤湯,36,6
899,中川,36,6
900,羽前中山,36,6
901,かみのやま温泉,36,6
902,茂吉記念館前,36,6
903,蔵王,36,6
904,山形,36,6
905,北山形,36,6
906,羽前千歳,36,6
907,南出羽,36,6
908,漆山,36,6
909,高擶,36,6
910,天童南,36,6
911,天童,36,6
912,乱川,36,6
913,神町,36,6
914,さくらんぼ東根,36,6
915,東根,36,6
916,村山,36,6
917,袖崎,36,6
918,大石田,36,6
919,北大石田,36,6
920,芦沢,36,6
921,舟形,36,6
922,新庄,36,6
923,仙台,37,4
924,東照宮,37,4
925,北仙台,37,4
926,北山,37,4
927,東北福祉大前,37,4
928,国見,37,4
929,葛岡,37,4
930,陸前落合,37,4
931,愛子,37,4
932,陸前白沢,37,4
933,熊ケ根,37,4
934,西仙台ハイランド,37,4
935,作並,37,4
936,八ツ森,37,4
937,奥新川,37,4
938,面白山高原,37,6
939,山寺,37,6
940,高瀬,37,6
941,楯山,37,6
942,羽前千歳,37,6
943,北山形,37,6
944,山形,37,6
945,山形,38,6
946,北山形,38,6
947,東金井,38,6
948,羽前山辺,38,6
949,羽前金沢,38,6
950,羽前長崎,38,6
951,南寒河江,38,6
952,寒河江,38,6
953,西寒河江,38,6
